Country,Capital_Mobilization_Score,Infra_Investment_Pct_GDP,Green_Finance_Capacity,Dev_Bank_Sovereign_Fund,FDI_Transition,Anchoring_Sources,Evidence_Notes
Algeria,18,15,10,20,25,"IMF public investment data; UNCTAD FDI; SWF Institute","Infra: ~3% GDP public investment but poor execution and maintenance. Green: near-zero renewable investment despite massive solar potential. Dev bank: Fonds National d'Investissement exists but minimal deployment. FDI: low inflows outside hydrocarbons. All sub-scores evidence-based."
Argentina,28,30,22,28,30,"OECD infrastructure data; BNEF; UNCTAD FDI 2024","Infra: ~3.5% GDP but erratic due to recurring crises. Green: growing solar/wind investment in Patagonia but hampered by capital controls. Dev bank: BICE exists but limited by macro instability. FDI: moderate greenfield in lithium/energy. Mostly evidence-based."
Australia,52,35,58,62,50,"OECD infrastructure investment; IRENA 2024; SWF Institute; UNCTAD FDI","Infra: ~2.5% GDP (data-anchored OECD). Green: significant solar investment growth; $20B+ annual renewables spend. Dev bank: Future Fund ($225B AUM); CEFC ($10B green bank). FDI: moderate transition FDI in critical minerals. Mix of data-anchored and evidence-based."
Austria,50,42,52,48,55,"OECD infrastructure investment; CPI global flows; UNCTAD FDI","Infra: ~3% GDP (OECD data). Green: moderate green bond issuance; alpine hydro base. Dev bank: OeKB development bank; small but well-deployed. FDI: solid EU-sourced transition FDI. Mostly data-anchored."
Azerbaijan,22,45,8,22,12,"ITF/OECD transport data; SWF Institute; UNCTAD","Infra: ~3% GDP (data-anchored ITF) driven by oil revenue. Green: near-zero renewable finance. Dev bank: SOFAZ sovereign fund ($45B) but narrow hydrocarbon focus. FDI: minimal transition FDI. Infra data-anchored; rest evidence-based."
Bangladesh,20,22,15,18,25,"World Bank project data; IRENA; UNCTAD FDI 2024","Infra: ~2.5% GDP public investment. Green: minimal but growing solar microgrid finance. Dev bank: Bangladesh Development Bank exists but poorly capitalized. FDI: growing garment/energy FDI from a low base. Mostly evidence-based."
Belgium,52,38,60,50,58,"OECD infrastructure; CBI green bond data; UNCTAD FDI","Infra: ~2.5% GDP (OECD data). Green: significant green bond issuance; EU institutional hub. Dev bank: limited national mechanism but EU fund access. FDI: strong logistics/energy FDI via Antwerp port. Data-anchored for infra and green; evidence-based for dev bank."
Bolivia,15,20,8,12,18,"World Bank; national budget data; UNCTAD","Infra: ~2.5% GDP but poor execution quality. Green: near-zero green finance. Dev bank: no significant sovereign fund; FONDESIF exists but minimal. FDI: low and concentrated in extractives. Mostly evidence-based."
Brazil,45,38,48,55,38,"OECD infrastructure; IRENA 2024; BNDES data; UNCTAD FDI 2024","Infra: ~2.8% GDP. Green: growing renewable investment (~$30B annual); strong solar growth. Dev bank: BNDES is one of world's largest ($80B+ annual disbursements); key transition finance tool. FDI: #2 global FDI recipient 2024 but mixed transition focus. BNDES data-anchored; rest mixed."
Bulgaria,35,40,28,25,45,"EU infrastructure data; CBI green bonds; UNCTAD FDI","Infra: ~3.5% GDP boosted by EU structural funds. Green: modest but growing via EU Green Deal. Dev bank: Bulgarian Development Bank exists but small. FDI: growing EU-sourced manufacturing FDI. Mostly evidence-based with EU fund data anchor."
Canada,55,30,58,65,55,"OECD infrastructure; CBI green bond data; SWF Institute; UNCTAD FDI","Infra: ~2.2% GDP (OECD data-anchored). Green: strong green bond market; CIB ($35B infrastructure bank). Dev bank: CPP Investment Board ($570B+); CDPQ ($400B+); CIB. FDI: solid transition FDI in critical minerals and energy. Mostly data-anchored."
Chile,40,35,45,32,48,"OECD infrastructure; CBI green bond data; UNCTAD FDI 2024","Infra: ~2.8% GDP. Green: largest EM sovereign green bond issuer ($55B cumulative GSSS); strong solar finance. Dev bank: CORFO exists but limited scale. FDI: significant mining/energy greenfield FDI. Green bond data-anchored; rest mixed."
