Country,Transition_Velocity_Score,Renewable_Deployment_Rate,Electrification_Trajectory,Infrastructure_Condition_Delta,Clean_Investment_Trajectory,Anchoring_Sources,Evidence_Notes
Algeria,-12.0,-3,0,-8,-5,"IRENA 2025; Ember 2024; IEA WEO 2024; BloombergNEF 2025","0.13pp 10yr delta (near zero). No EV market. Infrastructure stagnant — roads/rail unchanged. Minimal clean investment. Vast solar potential entirely untapped."
Argentina,8.0,10,3,2,3,"Ember 2024; IRENA 2025; IEA GEVO 2025; BNEF 2025","5.6pp 10yr gain from Patagonian wind/solar. Minimal EV adoption (<1%). Infrastructure modestly improving but economic crises stall continuity. Growing renewable investment but volatile macro."
Australia,15.0,18,10,5,10,"Ember 2024; IRENA 2025; IEA GEVO 2025; BNEF 2025; Clean Energy Council 2025","9.1pp 10yr gain. EV sales ~8% and rising fast. Rooftop solar world-leading (33% of homes). Infrastructure steady — NBN complete, grid upgrades underway. Strong clean investment pipeline."
Austria,16.0,16,12,8,8,"Ember 2024; IRENA 2025; IEA GEVO 2025; BNEF 2025","8.3pp 10yr gain. Heat pump leader in Europe. Alpine infrastructure well-maintained. Solid public transit investment. Steady clean energy investment."
Azerbaijan,-8.0,-2,0,-6,-4,"Ember 2024; IEA 2024; World Bank 2025","Negative 20yr delta (-0.56pp). No EV market. Oil-dependent infrastructure with limited maintenance. COP29 host with near-zero clean deployment. Minimal investment trajectory."
Bangladesh,-4.0,1,-2,-5,-2,"Ember 2024; IRENA 2025; World Bank 2025; IEA 2024","0.41pp 10yr gain (marginal). Negative 20yr delta. No EV adoption. Infrastructure degrading — flooding damage, grid unreliable. Minimal clean investment relative to need."
Belgium,12.0,10,10,5,5,"Ember 2024; IRENA 2025; IEA GEVO 2025; BNEF 2025","4.2pp 10yr gain. Strong EV adoption (~25% new sales). Major EV logistics hub (Antwerp/Zeebrugge). Infrastructure stable. Moderate clean investment."
Bolivia,-6.0,-1,-1,-4,-3,"Ember 2024; IRENA 2025; World Bank 2025","Near-zero 10yr/20yr renewable progress. No EV market. Infrastructure deteriorating in many areas. Lithium reserves undeveloped. Minimal clean investment."
Brazil,18.0,22,5,5,8,"Ember 2024; IRENA 2025; IEA 2024; BNEF 2025","11.9pp 10yr gain — massive wind/solar additions beyond legacy hydro. EV adoption low (~3%) but BYD factory under construction. Infrastructure mixed — some new transit but aging overall. Growing clean investment."
Bulgaria,8.0,8,3,3,3,"Ember 2024; IRENA 2025; EU Commission 2025","11.7pp 20yr gain. Nuclear baseload stable. Modest EV adoption. EU funds driving some infrastructure improvement. Moderate clean investment via EU mechanisms."
Canada,-2.0,0,6,-8,2,"Ember 2024; IRENA 2025; IEA GEVO 2025; BNEF 2025; Infrastructure Canada 2025","Negative 1.3pp 10yr delta — going backwards on clean energy share. EV adoption ~11% (ZEV mandate). But infrastructure aging badly — bridges, water systems, northern roads. Oil sands expansion actively counteracting transition. Some clean investment but dwarfed by fossil."
Chile,28.0,25,6,5,12,"Ember 2024; IRENA 2025; IEA 2024; BNEF 2025","12.7pp 10yr gain — one of fastest solar buildouts globally (Atacama). Moderate EV adoption. Infrastructure improving — Santiago metro expansion, grid upgrades. Strong clean investment trajectory. Lithium strategy emerging."
China,62.0,20,22,24,18,"Ember 2024; IRENA 2025; IEA GEVO 2025; BNEF 2025; NEA China 2025","9.1pp 10yr gain but absolute scale is staggering — added more solar in 2024 than rest of world combined. 35%+ EV sales share. 48k km HSR, massive grid expansion, UHV transmission buildout. $890B clean energy investment in 2024. The velocity benchmark."
Colombia,0.0,2,0,-2,0,"Ember 2024; IRENA 2025; World Bank 2025","0.79pp 10yr gain (stagnant). Negative 20yr delta (-5.6pp, hydro share declining). No meaningful EV market. Infrastructure mixed — some new road projects but aging systems. Minimal clean investment growth."
Costa Rica,5.0,4,2,3,1,"Ember 2024; IRENA 2025; World Bank 2025","Near 100% renewable electricity but primary energy transition slow (+2.1pp 20yr). Very low EV adoption. Infrastructure modestly improving — roads, transit. Small economy limits investment scale."
